ID,ID,Latitude,Longitude
4392,4392,-0.3691756535,130.567904078
4390,4390,-0.3742810899,130.268598191
4389,4389,-0.3723740432,130.419836752
4387,4387,-0.3732778378,131.187107934
4386,4386,-0.371682083,130.412079695
4382,4382,-0.3886660244,130.257519093
4376,4376,-0.4040836412,135.267574413
4375,4375,-0.3962674406,130.268802376
4372,4372,-0.3977863547,130.246356893
4368,4368,-0.4020895436,131.264151716
4367,4367,-0.476026581,130.585835628
4366,4366,-0.4035843844,131.254823363
4364,4364,-0.4057371132,130.216618417
4356,4356,-0.413340721,130.565847819
4353,4353,-0.419347439,130.685227318
4351,4351,-0.4150408031,130.596637492
4350,4350,-0.4167054612,130.698342941
4345,4345,-0.4177328571,130.694994317
4343,4343,-0.4220343386,130.302448507
4341,4341,-0.4229228869,130.604972029
4328,4328,-0.4291852486,130.565418672
4314,4314,-0.4501615609,130.440966847
4312,4312,-0.4446330238,130.441436083
4311,4311,-0.4470275083,130.456973038
4307,4307,-0.4529415841,130.427908485
4306,4306,-0.4544517836,130.445761805
4303,4303,-0.4598016303,130.798274256
4298,4298,-0.4591790016,130.467920113
4295,4295,-0.4609596687,130.447368269
4294,4294,-0.462089512,130.459988064
4293,4293,-0.4637573527,130.454566956
4292,4292,-0.4637685218,130.448326959
4291,4291,-0.4659240184,130.472587176
4284,4284,-0.4753059708,130.780617478
4281,4281,-0.4766799825,130.588325811
4280,4280,-0.4769541954,130.584741223
4279,4279,-0.4809058325,130.68983762
4275,4275,-0.4869508125,130.69505188
4273,4273,-0.4881594841,130.567410051
4272,4272,-0.489249166,130.347708959
4270,4270,-0.4933479921,130.333732685
4265,4265,-0.4971029199,130.327070085
4263,4263,-0.4995866008,130.379561353
4258,4258,-0.504183924,130.721911139
4251,4251,-0.5210586518,130.553336913
4250,4250,-0.5220793015,130.661679838
4249,4249,-0.5261915479,130.448047666
4247,4247,-0.5238409235,130.543011696
4246,4246,-0.5248623036,130.58100255
4233,4233,-0.5814074262,130.265992997
4224,4224,-0.561678859,130.69956449
