Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A3HGF_061_Line_Y_500m,MOD17A3HGF_061_Sample_X_500m,MOD17A3HGF_061_Npp_500m,MOD17A3HGF_061_Npp_QC_500m,MOD17A3HGF_061_Npp_QC_500m_bitmask,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
4394,4394,-0.372414049,130.284773682,2001-01-01,h31v09,89.0,67.0,32766.0,254.0,0b11111110,0b0,Continuous
4394,4394,-0.372414049,130.284773682,2002-01-01,h31v09,89.0,67.0,32766.0,254.0,0b11111110,0b0,Continuous
4394,4394,-0.372414049,130.284773682,2003-01-01,h31v09,89.0,67.0,32766.0,254.0,0b11111110,0b0,Continuous
4394,4394,-0.372414049,130.284773682,2004-01-01,h31v09,89.0,67.0,32766.0,254.0,0b11111110,0b0,Continuous
4395,4395,-0.3690028855,130.56046048,2001-01-01,h31v09,88.0,133.0,0.6527,59.0,0b00111011,0b0,Continuous
4395,4395,-0.3690028855,130.56046048,2002-01-01,h31v09,88.0,133.0,1.0698,36.0,0b00100100,0b0,Continuous
4395,4395,-0.3690028855,130.56046048,2003-01-01,h31v09,88.0,133.0,0.8171,51.0,0b00110011,0b0,Continuous
4395,4395,-0.3690028855,130.56046048,2004-01-01,h31v09,88.0,133.0,0.8203,49.0,0b00110001,0b0,Continuous
4396,4396,-0.3662813511,130.310283489,2001-01-01,h31v09,87.0,73.0,32766.0,254.0,0b11111110,0b0,Continuous
4396,4396,-0.3662813511,130.310283489,2002-01-01,h31v09,87.0,73.0,32766.0,254.0,0b11111110,0b0,Continuous
4396,4396,-0.3662813511,130.310283489,2003-01-01,h31v09,87.0,73.0,32766.0,254.0,0b11111110,0b0,Continuous
4396,4396,-0.3662813511,130.310283489,2004-01-01,h31v09,87.0,73.0,32766.0,254.0,0b11111110,0b0,Continuous
4399,4399,-0.3616814525,130.577491274,2001-01-01,h31v09,86.0,137.0,0.348,65.0,0b01000001,0b0,Continuous
4399,4399,-0.3616814525,130.577491274,2002-01-01,h31v09,86.0,137.0,0.4839,53.0,0b00110101,0b0,Continuous
4399,4399,-0.3616814525,130.577491274,2003-01-01,h31v09,86.0,137.0,0.3285,47.0,0b00101111,0b0,Continuous
4399,4399,-0.3616814525,130.577491274,2004-01-01,h31v09,86.0,137.0,0.3553,70.0,0b01000110,0b0,Continuous
