Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A3HGF_061_Line_Y_500m,MYD17A3HGF_061_Sample_X_500m,MYD17A3HGF_061_Npp_500m,MYD17A3HGF_061_Npp_QC_500m,MYD17A3HGF_061_Npp_QC_500m_bitmask,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
15780,15780,-8.2679206608,157.122489072,2002-07-04,h33v09,1984.0,1317.0,32766.0,254.0,0b11111110,0b0,Continuous
15780,15780,-8.2679206608,157.122489072,2003-01-01,h33v09,1984.0,1317.0,32766.0,254.0,0b11111110,0b0,Continuous
15780,15780,-8.2679206608,157.122489072,2004-01-01,h33v09,1984.0,1317.0,32766.0,254.0,0b11111110,0b0,Continuous
15781,15781,-8.2675315492,157.112088223,2002-07-04,h33v09,1984.0,1315.0,32766.0,254.0,0b11111110,0b0,Continuous
15781,15781,-8.2675315492,157.112088223,2003-01-01,h33v09,1984.0,1315.0,32766.0,254.0,0b11111110,0b0,Continuous
15781,15781,-8.2675315492,157.112088223,2004-01-01,h33v09,1984.0,1315.0,32766.0,254.0,0b11111110,0b0,Continuous
15782,15782,-8.2662622473,157.153749247,2002-07-04,h33v09,1983.0,1325.0,0.9812,75.0,0b01001011,0b0,Continuous
15782,15782,-8.2662622473,157.153749247,2003-01-01,h33v09,1983.0,1325.0,0.9626,48.0,0b00110000,0b0,Continuous
15782,15782,-8.2662622473,157.153749247,2004-01-01,h33v09,1983.0,1325.0,0.7796,55.0,0b00110111,0b0,Continuous
15783,15783,-8.2668421024,157.430938673,2002-07-04,h33v09,1984.0,1390.0,32766.0,254.0,0b11111110,0b0,Continuous
15783,15783,-8.2668421024,157.430938673,2003-01-01,h33v09,1984.0,1390.0,32766.0,254.0,0b11111110,0b0,Continuous
15783,15783,-8.2668421024,157.430938673,2004-01-01,h33v09,1984.0,1390.0,32766.0,254.0,0b11111110,0b0,Continuous
15784,15784,-8.2662725518,157.107928312,2002-07-04,h33v09,1983.0,1314.0,32766.0,254.0,0b11111110,0b0,Continuous
15784,15784,-8.2662725518,157.107928312,2003-01-01,h33v09,1983.0,1314.0,32766.0,254.0,0b11111110,0b0,Continuous
