Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A3HGF_061_Line_Y_500m,MYD17A3HGF_061_Sample_X_500m,MYD17A3HGF_061_Npp_500m,MYD17A3HGF_061_Npp_QC_500m,MYD17A3HGF_061_Npp_QC_500m_bitmask,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
8323,8323,9.7832620094,160.939162922,2002-07-04,h33v08,52.0,2063.0,32766.0,254.0,0b11111110,0b0,Continuous
8323,8323,9.7832620094,160.939162922,2003-01-01,h33v08,52.0,2063.0,32766.0,254.0,0b11111110,0b0,Continuous
8323,8323,9.7832620094,160.939162922,2004-01-01,h33v08,52.0,2063.0,32766.0,254.0,0b11111110,0b0,Continuous
8324,8324,9.7966387517,169.128734013,2002-07-04,h34v08,48.0,1598.0,32766.0,254.0,0b11111110,0b0,Continuous
8324,8324,9.7966387517,169.128734013,2003-01-01,h34v08,48.0,1598.0,32766.0,254.0,0b11111110,0b0,Continuous
8324,8324,9.7966387517,169.128734013,2004-01-01,h34v08,48.0,1598.0,32766.0,254.0,0b11111110,0b0,Continuous
8325,8325,9.7966615759,169.133721928,2002-07-04,h34v08,48.0,1600.0,32766.0,254.0,0b11111110,0b0,Continuous
8325,8325,9.7966615759,169.133721928,2003-01-01,h34v08,48.0,1600.0,32766.0,254.0,0b11111110,0b0,Continuous
8325,8325,9.7966615759,169.133721928,2004-01-01,h34v08,48.0,1600.0,32766.0,254.0,0b11111110,0b0,Continuous
8326,8326,9.7974720001,169.123728434,2002-07-04,h34v08,48.0,1597.0,32766.0,254.0,0b11111110,0b0,Continuous
8326,8326,9.7974720001,169.123728434,2003-01-01,h34v08,48.0,1597.0,32766.0,254.0,0b11111110,0b0,Continuous
8326,8326,9.7974720001,169.123728434,2004-01-01,h34v08,48.0,1597.0,32766.0,254.0,0b11111110,0b0,Continuous
8327,8327,9.8000000426,169.120381722,2002-07-04,h34v08,48.0,1596.0,32766.0,254.0,0b11111110,0b0,Continuous
8327,8327,9.8000000426,169.120381722,2003-01-01,h34v08,48.0,1596.0,32766.0,254.0,0b11111110,0b0,Continuous
8327,8327,9.8000000426,169.120381722,2004-01-01,h34v08,48.0,1596.0,32766.0,254.0,0b11111110,0b0,Continuous
8328,8328,9.8003075763,160.973024702,2002-07-04,h33v08,47.0,2069.0,32766.0,254.0,0b11111110,0b0,Continuous
8328,8328,9.8003075763,160.973024702,2003-01-01,h33v08,47.0,2069.0,32766.0,254.0,0b11111110,0b0,Continuous
8328,8328,9.8003075763,160.973024702,2004-01-01,h33v08,47.0,2069.0,32766.0,254.0,0b11111110,0b0,Continuous
8329,8329,9.8026858091,160.95721496,2002-07-04,h33v08,47.0,2065.0,32766.0,254.0,0b11111110,0b0,Continuous
8329,8329,9.8026858091,160.95721496,2003-01-01,h33v08,47.0,2065.0,32766.0,254.0,0b11111110,0b0,Continuous
8329,8329,9.8026858091,160.95721496,2004-01-01,h33v08,47.0,2065.0,32766.0,254.0,0b11111110,0b0,Continuous
8330,8330,9.8055008423,160.95108018,2002-07-04,h33v08,46.0,2063.0,32765.0,253.0,0b11111101,0b0,Continuous
8330,8330,9.8055008423,160.95108018,2003-01-01,h33v08,46.0,2063.0,32765.0,253.0,0b11111101,0b0,Continuous
8330,8330,9.8055008423,160.95108018,2004-01-01,h33v08,46.0,2063.0,32765.0,253.0,0b11111101,0b0,Continuous
8331,8331,9.8052731043,160.954329486,2002-07-04,h33v08,46.0,2064.0,32766.0,254.0,0b11111110,0b0,Continuous
8331,8331,9.8052731043,160.954329486,2003-01-01,h33v08,46.0,2064.0,32766.0,254.0,0b11111110,0b0,Continuous
8331,8331,9.8052731043,160.954329486,2004-01-01,h33v08,46.0,2064.0,32766.0,254.0,0b11111110,0b0,Continuous
8332,8332,9.7990536845,169.155938602,2002-07-04,h34v08,48.0,1605.0,32766.0,254.0,0b11111110,0b0,Continuous
8332,8332,9.7990536845,169.155938602,2003-01-01,h34v08,48.0,1605.0,32766.0,254.0,0b11111110,0b0,Continuous
8332,8332,9.7990536845,169.155938602,2004-01-01,h34v08,48.0,1605.0,32766.0,254.0,0b11111110,0b0,Continuous
8333,8333,9.8065607187,169.113036637,2002-07-04,h34v08,46.0,1594.0,32766.0,254.0,0b11111110,0b0,Continuous
8333,8333,9.8065607187,169.113036637,2003-01-01,h34v08,46.0,1594.0,32766.0,254.0,0b11111110,0b0,Continuous
8333,8333,9.8065607187,169.113036637,2004-01-01,h34v08,46.0,1594.0,32766.0,254.0,0b11111110,0b0,Continuous
8334,8334,9.8079883728,160.946371724,2002-07-04,h33v08,46.0,2062.0,32766.0,254.0,0b11111110,0b0,Continuous
8334,8334,9.8079883728,160.946371724,2003-01-01,h33v08,46.0,2062.0,32766.0,254.0,0b11111110,0b0,Continuous
8334,8334,9.8079883728,160.946371724,2004-01-01,h33v08,46.0,2062.0,32766.0,254.0,0b11111110,0b0,Continuous
8335,8335,9.8085108825,160.948882029,2002-07-04,h33v08,45.0,2063.0,32766.0,254.0,0b11111110,0b0,Continuous
8335,8335,9.8085108825,160.948882029,2003-01-01,h33v08,45.0,2063.0,32766.0,254.0,0b11111110,0b0,Continuous
8335,8335,9.8085108825,160.948882029,2004-01-01,h33v08,45.0,2063.0,32766.0,254.0,0b11111110,0b0,Continuous
8336,8336,9.8093491062,160.94305346,2002-07-04,h33v08,45.0,2061.0,32766.0,254.0,0b11111110,0b0,Continuous
8336,8336,9.8093491062,160.94305346,2003-01-01,h33v08,45.0,2061.0,32766.0,254.0,0b11111110,0b0,Continuous
8336,8336,9.8093491062,160.94305346,2004-01-01,h33v08,45.0,2061.0,32766.0,254.0,0b11111110,0b0,Continuous
8337,8337,9.8120076374,160.884146707,2002-07-04,h33v08,45.0,2047.0,32766.0,254.0,0b11111110,0b0,Continuous
8337,8337,9.8120076374,160.884146707,2003-01-01,h33v08,45.0,2047.0,32766.0,254.0,0b11111110,0b0,Continuous
8337,8337,9.8120076374,160.884146707,2004-01-01,h33v08,45.0,2047.0,32766.0,254.0,0b11111110,0b0,Continuous
8338,8338,9.8124662187,169.173727348,2002-07-04,h34v08,45.0,1607.0,32766.0,254.0,0b11111110,0b0,Continuous
8338,8338,9.8124662187,169.173727348,2003-01-01,h34v08,45.0,1607.0,32766.0,254.0,0b11111110,0b0,Continuous
8338,8338,9.8124662187,169.173727348,2004-01-01,h34v08,45.0,1607.0,32766.0,254.0,0b11111110,0b0,Continuous
8339,8339,9.8163456996,160.933179863,2002-07-04,h33v08,44.0,2058.0,32766.0,254.0,0b11111110,0b0,Continuous
8339,8339,9.8163456996,160.933179863,2003-01-01,h33v08,44.0,2058.0,32766.0,254.0,0b11111110,0b0,Continuous
8339,8339,9.8163456996,160.933179863,2004-01-01,h33v08,44.0,2058.0,32766.0,254.0,0b11111110,0b0,Continuous
8340,8340,9.8170620636,160.87325113,2002-07-04,h33v08,43.0,2044.0,32766.0,254.0,0b11111110,0b0,Continuous
8340,8340,9.8170620636,160.87325113,2003-01-01,h33v08,43.0,2044.0,32766.0,254.0,0b11111110,0b0,Continuous
8340,8340,9.8170620636,160.87325113,2004-01-01,h33v08,43.0,2044.0,32766.0,254.0,0b11111110,0b0,Continuous
8341,8341,9.8192232161,169.094302619,2002-07-04,h34v08,43.0,1588.0,32766.0,254.0,0b11111110,0b0,Continuous
8341,8341,9.8192232161,169.094302619,2003-01-01,h34v08,43.0,1588.0,32766.0,254.0,0b11111110,0b0,Continuous
8341,8341,9.8192232161,169.094302619,2004-01-01,h34v08,43.0,1588.0,32766.0,254.0,0b11111110,0b0,Continuous
8342,8342,9.8213423332,160.863482725,2002-07-04,h33v08,42.0,2041.0,32766.0,254.0,0b11111110,0b0,Continuous
8342,8342,9.8213423332,160.863482725,2003-01-01,h33v08,42.0,2041.0,32766.0,254.0,0b11111110,0b0,Continuous
8342,8342,9.8213423332,160.863482725,2004-01-01,h33v08,42.0,2041.0,32766.0,254.0,0b11111110,0b0,Continuous
8343,8343,9.8224847118,169.271230725,2002-07-04,h34v08,42.0,1629.0,32766.0,254.0,0b11111110,0b0,Continuous
8343,8343,9.8224847118,169.271230725,2003-01-01,h34v08,42.0,1629.0,32766.0,254.0,0b11111110,0b0,Continuous
8343,8343,9.8224847118,169.271230725,2004-01-01,h34v08,42.0,1629.0,32766.0,254.0,0b11111110,0b0,Continuous
8344,8344,9.8228957357,169.267037726,2002-07-04,h34v08,42.0,1628.0,32766.0,254.0,0b11111110,0b0,Continuous
8344,8344,9.8228957357,169.267037726,2003-01-01,h34v08,42.0,1628.0,32766.0,254.0,0b11111110,0b0,Continuous
