ID,ID,Latitude,Longitude
16798,16798,-21.2491347562,-159.726186258
16797,16797,-21.2546881076,-159.727413329
16796,16796,-21.2608495187,-159.731275676
16795,16795,-21.9128317851,-157.925155666
16793,16793,-11.0563172465,-171.077600425
16792,16792,-14.1778228459,-169.644668218
16791,16791,-14.1770049544,-169.692345827
16790,16790,-14.1719760218,-169.713435407
16789,16789,-14.1770933459,-169.712938192
16788,16788,-14.2409696954,-169.495394171
16787,16787,-14.2387975932,-170.698556346
16786,16786,-14.3053897644,-170.743828678
16785,16785,-14.2500370463,-170.594603676
16784,16784,-14.2546109696,-170.649600603
16783,16783,-14.2897689068,-170.578978477
16782,16782,-14.2913641765,-170.79318496
16781,16781,-14.2946031379,-170.808342447
16780,16780,-14.3033499575,-170.845440584
16779,16779,-14.3291776304,-170.872528076
16778,16778,-14.335466532,-170.867101907
16775,16775,28.3921292425,-178.300468144
16774,16774,27.9151649571,-175.733021285
16773,16773,27.7845617394,-175.860436841
16772,16772,27.7824996243,-175.836272614
16771,16771,27.7820733718,-175.839611119
16770,16770,27.7802391146,-175.811941439
16769,16769,27.7641025229,-175.90052099
16768,16768,27.7567791062,-175.939442836
16767,16767,27.751521574,-175.934816815
16766,16766,26.0672062321,-173.967066588
16765,16765,25.7698042097,-171.736566852
16764,16764,24.999763826,-167.997232406
16763,16763,23.871444506,-166.253900323
16762,16762,23.8685080771,-166.248268211
16761,16761,23.866293383,-166.287466773
16760,16760,23.8678051525,-166.243665876
16759,16759,23.8600673772,-166.222912802
16758,16758,23.8568311394,-166.220410362
16757,16757,23.8493845366,-166.325954539
16756,16756,23.8232557621,-166.231743302
16755,16755,23.8210874514,-166.227162809
16754,16754,23.8021293018,-166.23293192
16753,16753,23.7894212883,-166.203863026
16752,16752,23.7836019198,-166.21158173
16751,16751,23.7655818923,-166.264036131
16750,16750,23.7318161888,-166.168653466
16749,16749,23.7302327064,-166.16762463
16748,16748,23.7256910698,-166.16632806
16747,16747,23.6405677528,-166.173554034
16746,16746,23.5750202273,-164.702313885
16745,16745,23.0573450627,-161.922493009
16744,16744,22.0598246348,-159.526052093
16743,16743,22.0195135353,-160.096835423
16742,16742,21.8950055483,-160.155671608
16741,16741,21.8914150857,-160.230182567
16740,16740,21.4609645021,-157.974395539
16739,16739,21.7041358257,-158.010629473
16738,16738,21.6744816295,-157.925319219
16737,16737,21.6644035605,-157.923560815
16736,16736,21.6562279548,-160.542096137
16735,16735,21.660974883,-157.916717645
16734,16734,21.6525020464,-157.91441804
16733,16733,21.6510088398,-157.910572397
16732,16732,21.6077003459,-158.107555307
16731,16731,21.5891565316,-158.123112962
16730,16730,21.5649575902,-157.863561782
16729,16729,21.5638009242,-157.865508778
16728,16728,21.5641361253,-157.867902929
16727,16727,21.5613279196,-157.870649732
16726,16726,21.5618489563,-157.867893434
16725,16725,21.5112971347,-157.830170306
16724,16724,21.4788525228,-157.799231244
16723,16723,21.4740204111,-157.719691024
16722,16722,21.4715066482,-157.72204141
16721,16721,21.4655689029,-157.807853576
16720,16720,21.4637653136,-157.776234664
16719,16719,21.4362140217,-157.789197027
16718,16718,21.4339834705,-157.72041067
16717,16717,21.4017690079,-157.721747584
16716,16716,21.3937563253,-157.700576015
16715,16715,21.3893686578,-157.699228218
16714,16714,21.3658576182,-157.961216373
16713,16713,21.3666249082,-158.013972318
16712,16712,21.330694875,-157.658655925
16711,16711,21.3228336973,-157.658261441
16710,16710,21.3180692952,-157.897087429
16709,16709,21.3160495797,-157.955806894
16708,16708,21.3119680511,-157.937764052
16707,16707,21.3112246936,-157.90423767
16706,16706,21.3111932532,-157.896805732
16705,16705,21.3100948808,-157.893112028
16704,16704,21.1353932896,-157.015214645
16703,16703,21.2243031184,-157.213356159
16702,16702,21.1831413133,-156.927190074
16701,16701,21.1586261421,-156.709152539
16700,16700,21.1337659682,-156.704496545
16699,16699,20.7946931712,-156.339555404
16698,16698,20.9920467644,-156.528001038
16697,16697,20.9672163922,-156.522354718
16696,16696,20.9612032058,-156.518618277
16695,16695,20.9539550712,-156.326572891
16694,16694,20.9522813851,-156.323613317
16693,16693,20.950572969,-156.281587376
16692,16692,20.9453191144,-156.264302114
16691,16691,20.9444252899,-156.343125712
16690,16690,20.8395252282,-156.929404629
16689,16689,20.865445184,-156.132453021
16688,16688,20.7611797907,-155.979490973
16687,16687,20.758670006,-155.978644881
16686,16686,20.7442380224,-156.879580111
16685,16685,20.7313335608,-155.977855045
16684,16684,20.5520660961,-156.610751403
16683,16683,20.5163321957,-156.612500725
16682,16682,19.6002740035,-155.520346584
16681,16681,20.1961747112,-155.6999192
16680,16680,20.1960997029,-155.703457383
16679,16679,19.7340446998,-155.073077626
16678,16678,19.7312990013,-155.071365488
16677,16677,19.6639421066,-154.977709151
16676,16676,19.2681519832,-155.254697811
16675,16675,28.2038496077,-177.379567086
16674,16674,28.2051436252,-177.33150845
16673,16673,28.2041580998,-177.357732237
16672,16672,28.2036846137,-177.351387529
16669,16669,-31.4333672721,-178.899974346
16667,16667,-16.7720115481,-179.973539319
16666,16666,-21.7381774528,174.639892445
16665,16665,0.8243437292,134.302953818
16664,16664,0.9163055314,134.332492645
16654,16654,19.3096934585,166.625825245
16653,16653,19.2885912973,166.638440355
16652,16652,-13.1353197877,166.555650089
16651,16651,-13.2091923943,166.588993546
16650,16650,-13.2473081241,166.614834927
16649,16649,-13.246988282,167.637351989
16648,16648,-13.2551965206,166.576217961
16647,16647,-13.3412116981,166.630272042
16646,16646,-13.4189399483,166.686286859
16645,16645,-13.534491582,167.32481148
16644,16644,-13.596964521,167.509497366
16643,16643,-13.5975366126,167.530433208
16642,16642,-13.6140739229,167.531106045
16641,16641,-13.611324532,167.521637318
16640,16640,-13.6249070722,167.518151346
16639,16639,-13.6735571062,167.670948982
16638,16638,-13.7144469933,167.626926135
16637,16637,-13.8297554494,167.463246555
16636,16636,-13.789468074,167.548750613
16635,16635,-13.8526107522,167.693802862
16634,16634,-13.8842044138,167.595839076
16633,16633,-13.8834016276,167.612448443
16632,16632,-13.9123481473,167.542708807
16631,16631,-14.2572103949,167.507267562
16630,16630,-14.2941024828,167.793806958
16629,16629,-14.4250934409,168.043558302
16628,16628,-14.4104225185,168.061239019
16627,16627,-15.2455614126,166.855469474
16626,16626,-14.6940929114,166.552605587
16625,16625,-14.8565367037,166.523623182
16624,16624,-15.1723773013,168.16067855
16623,16623,-14.9284166799,168.141814629
16622,16622,-14.9643594091,167.124059007
16621,16621,-14.990830667,167.063344751
16620,16620,-15.0304529651,166.588880676
16619,16619,-15.0379021657,167.082014792
16618,16618,-15.0437774962,167.067511543
16617,16617,-15.0538829834,167.069089227
16616,16616,-15.0766806986,168.183588564
16615,16615,-15.0875992401,168.176384641
16614,16614,-15.1084056703,167.113100803
16613,16613,-15.1041820864,168.177474863
16612,16612,-15.1119108328,166.611018853
16611,16611,-15.1211412054,168.179016534
16610,16610,-15.1652064564,166.810695719
16609,16609,-15.1931816133,166.629404906
16608,16608,-15.2726674763,167.171699153
16607,16607,-15.3955646085,167.848248315
16606,16606,-15.2966108797,167.200135324
16605,16605,-15.3604225008,166.631233687
16604,16604,-15.3646847692,166.631835473
16603,16603,-15.3704596365,167.195384494
16602,16602,-15.3737885126,167.1812511
16601,16601,-15.3762619568,167.184172005
16600,16600,-15.3836429854,167.181136288
16599,16599,-15.3964738226,167.217763875
16598,16598,-15.3937668212,168.211080993
16597,16597,-15.39209561,167.179991009
16596,16596,-15.3920307439,167.183166676
16595,16595,-15.443054176,167.23971036
16594,16594,-15.7593277481,168.19575689
16593,16593,-15.4637747138,168.192505008
16592,16592,-15.4687774435,168.192506507
16591,16591,-15.4911027912,167.243032996
16590,16590,-15.5370947831,167.145815407
16589,16589,-15.5881844693,167.166404727
16588,16588,-15.5784165274,167.267181488
16587,16587,-15.6001311251,167.233329039
16586,16586,-15.5984359791,167.015782096
16585,16585,-15.6014178617,166.980500012
16584,16584,-15.6006213827,167.028965918
16583,16583,-15.6134149501,166.969327191
16582,16582,-15.6229144306,167.168214119
16581,16581,-15.6228360808,167.016566659
16580,16580,-15.6215475695,167.003478637
16579,16579,-15.6419932445,166.941044039
16578,16578,-15.6371760066,167.17472541
16577,16577,-15.6922083681,167.162007306
16576,16576,-15.6420239752,166.892324224
16575,16575,-15.6472812869,166.758067288
16574,16574,-15.7142589111,167.247861279
16573,16573,-15.7265996516,167.24721593
16572,16572,-15.7217777446,167.241567785
16571,16571,-16.2741050008,167.464116125
16570,16570,-15.9080538089,167.297375901
16569,16569,-15.9511958054,167.333202469
16568,16568,-15.9820330054,167.367715421
16567,16567,-15.9943055826,167.379432508
16566,16566,-16.0015764943,168.196807467
16565,16565,-16.0646677692,167.393937996
16564,16564,-16.0789103801,167.435620438
16563,16563,-16.2526197768,168.115843193
16562,16562,-16.0987635088,167.440098524
16561,16561,-16.1087973855,167.424513235
16560,16560,-16.12374547,167.444597844
16559,16559,-16.3865818229,167.375718743
16558,16558,-16.4713960687,168.221199383
16557,16557,-16.5100450729,168.324882503
16556,16556,-16.5014177812,167.811155786
16555,16555,-16.5055823818,167.431425128
16554,16554,-16.5131985016,167.785340558
16553,16553,-16.5150120758,167.791255371
16552,16552,-16.5174993487,167.787881332
16551,16551,-16.523663718,167.581080471
16550,16550,-16.5203557138,167.782316432
16549,16549,-16.5244804454,167.769626932
16548,16548,-16.5241585005,167.840149527
16547,16547,-16.5304334493,167.822258956
16546,16546,-16.5257487181,167.639786835
16545,16545,-16.5271285754,167.832600965
16544,16544,-16.5266551439,167.704718774
16543,16543,-16.5356079783,167.835816204
16542,16542,-16.5393295891,167.765327666
16541,16541,-16.5380922437,167.691927242
16540,16540,-16.5380248509,167.815669106
16539,16539,-16.5424642327,167.837844825
16538,16538,-16.5400255301,167.834605328
16537,16537,-16.5538363983,167.774572367
16536,16536,-16.5529529708,167.685408034
16535,16535,-16.7265625411,168.241977663
16534,16534,-16.5846629494,168.118499633
16533,16533,-16.5982215213,167.4603061
16532,16532,-16.8159520737,168.530991683
16531,16531,-16.8233376433,168.540406647
16530,16530,-16.827878281,168.54628565
16529,16529,-16.833475625,168.344612546
16528,16528,-16.8996170746,168.543423914
16527,16527,-16.9214049969,168.570570531
16526,16526,-16.9571553436,168.562282379
16525,16525,-16.9893595776,168.585981251
16524,16524,-17.0096114321,168.620074791
16523,16523,-16.99932724,168.609167695
16522,16522,-17.0283571194,168.578689675
16521,16521,-17.027934647,168.610844818
16520,16520,-17.0698752094,168.372941428
16519,16519,-17.1409358364,168.431247818
16518,16518,-17.2575692123,168.418899677
16517,16517,-17.2716882085,168.456229199
16516,16516,-17.4569966865,168.346929615
16515,16515,-17.4867994969,168.481375049
16514,16514,-17.4993952546,168.399942101
16513,16513,-17.5382192201,168.253267263
16512,16512,-17.5214745956,168.400209454
16511,16511,-17.6826906803,168.382341147
16510,16510,-17.6040176419,168.203958721
16509,16509,-17.6447663719,168.146226845
16508,16508,-17.7504593344,168.302902258
16507,16507,-17.7529642213,168.288452779
16506,16506,-17.7808510287,168.302914142
16505,16505,-17.8041978847,168.332908713
16504,16504,-18.8219377406,169.124851367
16503,16503,-18.7078857097,169.284624303
16502,16502,-19.2787239653,169.571021927
16501,16501,-19.4944553812,169.326338052
16500,16500,-19.5282406684,170.193259283
16499,16499,-20.1891822209,169.772070885
16498,16498,-20.2155331754,169.693964959
