society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
If3,Majuro,xd834,rata1243,Ratak,Austronesian,NetPrimaryProductionPredictability,0.687732856,,,,"Note, estimate is from a point 90 km away (coordinates: 6.37,171.51); data were not available at society's reported location"
Ij5,Raroians,xd894,tuam1242,Tuamotuan,Austronesian,NetPrimaryProductionPredictability,0.672315056,,,,
If7,Gilbert Onotoa,xd838,nuii1237,Nui,Austronesian,NetPrimaryProductionPredictability,0.600509193,,,,
Ef1,Santal,xd661,sant1410,Santali,Austroasiatic,NetPrimaryProductionPredictability,0.592626218,,,,
Ij7,Mangarevans,xd896,mang1401,Mangareva,Austronesian,NetPrimaryProductionPredictability,0.589878399,,,,
Ij4,Manihikians,xd893,raka1237,Rakahanga-Manihiki,Austronesian,NetPrimaryProductionPredictability,0.586663864,,,,
Ej11,Cham,xd718,east2563,Eastern Cham,Austronesian,NetPrimaryProductionPredictability,0.570759978,,,,
SCCS104,Māori,xd891,maor1246,Maori,Austronesian,NetPrimaryProductionPredictability,0.570678659,,,,
If14,Makin,xd829,bana1287,Banaban,Austronesian,NetPrimaryProductionPredictability,0.563069956,,,,
SCCS107,Makin,xd829,bana1287,Banaban,Austronesian,NetPrimaryProductionPredictability,0.563069956,,,,
If13,Nauruans,xd828,naur1243,Nauru,Austronesian,NetPrimaryProductionPredictability,0.562532619,,,,
SCCS62,Santal,xd661,sant1410,Santali,Austroasiatic,NetPrimaryProductionPredictability,0.560890102,,,,
Ij2,Māori,xd891,maor1246,Maori,Austronesian,NetPrimaryProductionPredictability,0.56047705,,,,
Ej5,Khmer,xd727,cent1989,Central Khmer,Austroasiatic,NetPrimaryProductionPredictability,0.549477427,,,,
Eh2,Merina,xd688,meri1243,Merina,Austronesian,NetPrimaryProductionPredictability,0.54302274,,,,
If12,Bikinians,xd827,rali1241,Rälik,Austronesian,NetPrimaryProductionPredictability,0.528159772,,,,
Ij6,Hawaiians,xd895,hawa1245,Hawaiian,Austronesian,NetPrimaryProductionPredictability,0.522654025,,,,
SCCS73,Annamese,xd726,viet1252,Vietnamese,Austroasiatic,NetPrimaryProductionPredictability,0.514059476,,,,
Eh7,Antandroy,xd693,tand1256,Tandroy Malagasy,Austronesian,NetPrimaryProductionPredictability,0.509009572,,,,
Ii2,Tikopia,xd881,tiko1237,Tikopia,Austronesian,NetPrimaryProductionPredictability,0.50831431,,,,
SCCS100,Tikopia,xd881,tiko1237,Tikopia,Austronesian,NetPrimaryProductionPredictability,0.50831431,,,,
SCCS98,Trobriands,xd852,kili1267,Kilivila,Austronesian,NetPrimaryProductionPredictability,0.504359748,,,,
Ia12,Sugbuanon,xd735,cebu1242,Cebuano,Austronesian,NetPrimaryProductionPredictability,0.499251345,,,,
Ia18,Bisayan,xd741,akla1241,Aklanon,Austronesian,NetPrimaryProductionPredictability,0.494566769,,,,
SCCS102,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,NetPrimaryProductionPredictability,0.492621737,,,,
Ib8,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,NetPrimaryProductionPredictability,0.491622733,,,,
Ii9,Niueans,xd888,niue1239,Niuean,Austronesian,NetPrimaryProductionPredictability,0.490831132,,,,
B66,Mikea,xd928,masi1268,Masikoro Malagasy,Austronesian,NetPrimaryProductionPredictability,0.49060196,,,,
SCCS86,Badjau Tawi-Tawi,xd736,sout2918,Southern Sama,Austronesian,NetPrimaryProductionPredictability,0.487524505,,,,
B18,Birhor,xd911,birh1242,Birhor,Austroasiatic,NetPrimaryProductionPredictability,0.486102727,,,,
Ih7,Lifu,xd873,dehu1237,Dehu,Austronesian,NetPrimaryProductionPredictability,0.48293918,,,,
SCCS103,Ajie,xd871,ajie1238,Ajië,Austronesian,NetPrimaryProductionPredictability,0.480093635,,,,
