ISO2_code	Location	Remote_Oceania
US	United States of America	yes
AU	Australia	no
NZ	New Zealand	yes
FJ	Fiji	yes
NC	New Caledonia	yes
PG	Papua New Guinea	yes
SB	Solomon Islands	yes
VU	Vanuatu	yes
GU	Guam	yes
KI	Kiribati	yes
MH	Marshall Islands	yes
FM	Micronesia (Fed. States of)	yes
NR	Nauru	yes
MP	Northern Mariana Islands	yes
PW	Palau	yes
AS	American Samoa	yes
CK	Cook Islands	yes
PF	French Polynesia	yes
NU	Niue	yes
WS	Samoa	yes
TK	Tokelau	yes
TO	Tonga	yes
TV	Tuvalu	yes
WF	Wallis and Futuna Islands	yes
