Smallest_Island_group,country_ids,NANO_contact,Source,Quote
"Northern Marianas, Saipan",MP,0,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,"People of the Mariana Archipelago may derive all of their precolonial ancestry from East Asian sources, making them the only Remote Oceanians without Papuan ancestry. "
Saipan,MP,0,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,"People of the Mariana Archipelago may derive all of their precolonial ancestry from East Asian sources, making them the only Remote Oceanians without Papuan ancestry. "
"Saipan, Tinian, Guam",GU MP,0,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,"People of the Mariana Archipelago may derive all of their precolonial ancestry from East Asian sources, making them the only Remote Oceanians without Papuan ancestry. "
"Bellona, Rennelle",SB,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,"Liu: Fig 1 (Rennell and Bellona location), Posth: Fig 1 (Rennell and Bellona location)"
Chuuk,FM,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Papuan admixture was present in all prehistoric and present-day individuals from Pohnpei (~27%) and all present-day people from Chuuk (~27%) and Palau (~38%). 
Luangiua,SB,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,Liu: Fig1 (Ontong Java location); Posth: Fig1 (Ontong Java location)
Mangareva,PF,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
"Napuka, Tuamotu, Puka-puka, Tatakoto, Reao, Hereheretue, Nukutaveke, Marutea, Tureia, Morane",PF,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
Palau,PW,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Papuan admixture was present in all prehistoric and present-day individuals from Pohnpei (~27%) and all present-day people from Chuuk (~27%) and Palau (~38%). 
"Pohnpei, Ngatik",FM,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Papuan admixture was present in all prehistoric and present-day individuals from Pohnpei (~27%) and all present-day people from Chuuk (~27%) and Palau (~38%). 
Raivavae,FP,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
Rapa Iti,PF,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
Rapa Nui,CL,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (Rapa Nui location)
"Raro Matai, Nia Matai",PF,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (Tahiti location)
Rimatara,FP,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
Rurutu,FP,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
Sāmoa,AS WS,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (Samoa location)
Te Fenua ’Enata,PF,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
Te Henua ‘Enana,PF,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
Tikopia,SB,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,Liu: Fig1 (Tikopia location); Posth: Fig1 (Tikopia location)
Tonga,TO,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,Liu: Fig1 (Tonga location); Posth: Fig1 (Tonga location)
Tupuai,FP,0.5,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers,Fig1 (French Polynesia location)
Ambae,VU,1,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania; Lipson et al (2018) Population Turnover in Remote Oceania Shortly after Initial Settlement,Liu: Fig1 (Vanuatu location); Posth: Fig1 (Vanuatu HO location); Lipson: Fig1 (Ambae ADMIXTURE plot)
Ambrym,VU,1,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,Liu: Fig1 (Vanuatu location); Posth: Fig1 (Vanuatu HO location); Lipson: Fig1 (Ambrym ADMIXTURE plot)
Aneityum,VU,1,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,Liu: Fig1 (Vanuatu location); Posth: Fig1 (Vanuatu HO location); Lipson: Fig1 (Aneityum ADMIXTURE plot)
Aore,VU,1,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,Liu: Fig1 (Vanuatu location); Posth: Fig1 (Vanuatu HO location)
Araki,VU,1,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,Liu: Fig1 (Vanuatu location); Posth: Fig1 (Vanuatu HO location)
Efate,VU,1,Liu et al (2022) Ancient DNA reveals five streams of migration into Micronesia and matrilocality in early Pacific seafarers; Posth et al (2018) Language continuity despite population replacement in Remote Oceania. ,"Liu: Fig1 (Vanuatu location); Posth: Fig1 (Vanuatu HO location); Lipson: Fig1 (multiple Efate, Nguna and Ifira ADMIXTURE plot)"
