Unique_ID	Smallest_Island_group	water_area
16625	Santo	984656.86939184
16626	Santo	570929.7109415408
16620	Santo	1333166.571269173
16612	Santo	1896279.2210070714
16609	Santo	1575803.6365637484
16605	Santo	263540.2550464855
16604	Santo	340252.9879288221
16575	Santo	184904.2181321823
16610	Santo	925337.7267260962
16627	Santo	36850025081.49769
16576	Santo	334622.8644856948
16621	Santo	493891.5708066519
16618	Santo	550294.7107451047
16617	Santo	799481.2015711545
16619	Santo	26433111.501707133
16614	Santo	23899320.472200587
16622	Santo	118270287.97090206
16590	Santo	418134.09597259335
16608	Santo	28567277.83960592
16597	Santo	415291.64250064903
16600	Santo	2637897.102856691
16602	Santo	854011.2624256127
16596	Santo	340042.0624101099
16601	Santo	404423.90818041953
16603	Santo	687773.5201957485
16606	Santo	13991776.54528073
16591	Santo	1840339.222581307
16498	Aneityum	997229.3525327246
16497	Aneityum	1000095.3247569902
16499	Aneityum	1436473682.3277032
15055	Anuta	6899096788.70501
16589	Aore	553973271.5766734
16582	Aore	6750093.271491159
16579	Araki	25578809.335103527
15097	Lomlom	2093419.675176126
15096	Lomlom	4582421.302548489
16623	Maewo	859533.9486754172
16624	Maewo	2769590353.0630336
16615	Maewo	793203.3393058392
16613	Maewo	929187.2305659393
16611	Maewo	786730.8449179879
16616	Maewo	930946.0459851928
16598	Maewo	4381265.3557932
16534	Epi	13119469.079196597
16535	Epi	4136934554.022087
16529	Epi	5879196.022833674
9979	Northern Marianas	178075728.1305854
9977	Northern Marianas	83551032.08941521
9978	Northern Marianas	40649001.289569505
9976	Northern Marianas	98389841.34416378
9975	Northern Marianas	610773236.1451343
9974	Northern Marianas	3656618942.327373
9969	Northern Marianas	2571529683.724313
9965	Northern Marianas	5518983.0425278135
9973	Northern Marianas	4403005671.5789385
9970	Northern Marianas	470280486.0507057
9966	Northern Marianas	4935020.251120724
9971	Northern Marianas	367677874.9107216
9972	Northern Marianas	946409315.4562677
9968	Northern Marianas	94128347.13476507
52	Guam	917260.9421977152
54	Guam	6172877.414280617
53	Guam	2286735.623500349
55	Guam	3580786.271715275
43	Guam	46856316.26601783
56	Guam	2277566.110626313
49	Guam	6223308.243479386
42	Guam	6606533.48043018
45	Guam	2373785.0345850745
46	Guam	2890979.826392448
57	Guam	3054698.206683549
48	Guam	2318600.0793436887
47	Guam	2320836.619609606
50	Guam	2205437.324858357
44	Guam	2248759.7558353
51	Guam	935914.1248269568
58	Guam	2903412.3320144233
60	Guam	43353161775.95265
59	Guam	4285065.6573103145
9961	Guam	6884815476.499404
9962	Tinian	4183401.599258136
9963	Tinian	601265443.981588
9964	Tinian	8174680112.924948
25202	Chuuk	51338357.22929937
25193	Chuuk	23248285.919923805
25195	Chuuk	68758388.55356409
25190	Chuuk	23858338.13918243
25209	Chuuk	146342007.0898114
25192	Chuuk	38918978.117006585
25194	Chuuk	22731524.353546914
25196	Chuuk	23438064.981323887
25197	Chuuk	22813970.694711827
25244	Chuuk	61816866629.69361
25269	Chuuk	69248978.25536641
25177	Chuuk	431281245.18900263
25176	Chuuk	115127385.1983955
25212	Chuuk	69650011.1447047
25217	Chuuk	3450245121.0613437
25250	Chuuk	1742636315.4508252
25198	Chuuk	54570004.13495596
25297	Chuuk	69246436.67615709
25299	Chuuk	82149712.63494805
25191	Chuuk	70060485.4733761
25174	Chuuk	39793079.22877368
25245	Chuuk	9706128479.795378
25260	Chuuk	39770327.63198504
25173	Chuuk	53331918.76734363
25242	Chuuk	941111947.4214834
25273	Chuuk	387008809.4053908
25220	Chuuk	114494758.45441517
25302	Chuuk	542215359.7224668
25171	Chuuk	69812640.83880629
25210	Chuuk	984341811.1848307
25224	Chuuk	2671974531.431721
25303	Chuuk	69581587.03593665
25275	Chuuk	52072334.4706097
25199	Chuuk	1173317016.4309282
25301	Chuuk	81733521.87178966
25231	Chuuk	23243686473.34561
25279	Chuuk	83737578.80663268
25256	Chuuk	37327986596.65336
25300	Chuuk	176616584.75312498
25298	Chuuk	130337229.48979974
25248	Chuuk	38935658.594221026
25243	Chuuk	17312392767.571785
25163	Chuuk	490819060.6179997
25187	Chuuk	38026251.62037328
25204	Chuuk	7709369660.530599
25261	Chuuk	675330046.8071692
25188	Chuuk	55411419.221771345
25216	Chuuk	1077341901.4269567
25277	Chuuk	116581366.13442186
25165	Chuuk	462786295.92422783
25259	Chuuk	69826548.38909054
25184	Chuuk	146737323.54466274
25189	Chuuk	39309442.22020677
25164	Chuuk	1459559187.7638283
25178	Chuuk	55210968.77341229
25218	Chuuk	52795549.805431925
25185	Chuuk	114536859.41198526
25200	Chuuk	66424016.66072067
25292	Chuuk	51995523.24060978
25166	Chuuk	37352553.17275165
25160	Chuuk	87611512.80139627
25251	Chuuk	99116741.86076915
25286	Chuuk	53998982.42198853
25287	Chuuk	206338638.96429738
25167	Chuuk	725822397.6981578
25201	Chuuk	38215293.90329522
25281	Chuuk	114835792.9442237
25283	Chuuk	326978325.3908238
25182	Chuuk	55758399.87092763
25206	Chuuk	99686418.04240917
25186	Chuuk	38231321.44980253
25168	Chuuk	193750423.6196707
25267	Chuuk	204881345.95115742
25270	Chuuk	21908758.453545634
25272	Chuuk	396058625.91319114
25146	Chuuk	434627464.9346824
25169	Chuuk	956408269.4188187
25247	Chuuk	38127296.298736334
25170	Chuuk	394600752.81773007
25172	Chuuk	98774186.9313797
25151	Chuuk	68268503.53367378
25175	Chuuk	163398769.29857457
25253	Chuuk	84534259.93555057
25179	Chuuk	682988768.3875158
25203	Chuuk	68937922.49925391
25205	Chuuk	159085930.2696459
9792	Lifou	437409.1642782295
9787	Lifou	5025730776.706874
19030	East Futuna	32214109.674212962
19031	East Futuna	55396673999.01747
19029	East Futuna	44985053.90732347
19028	East Futuna	26389057034.801006
16520	Emae	318003190.06989443
16519	Emae	19407688.575437054
16502	Futuna and Aniwa	176775868.99957153
16500	Futuna and Aniwa	88486785.27776349
6976	Banaba	352990908378
7086	Tungaru	267549706.27491856
7085	Tungaru	54549688.85426133
7078	Tungaru	13152661.6414304
7070	Tungaru	44513072.973936796
7069	Tungaru	5143416.588707466
7046	Tungaru	16744402.36395491
7047	Tungaru	37963251.45603956
