society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Cb3,Songhai,xd480,koyr1242,Koyraboro Senni Songhai,Songhay,MonthlyMeanNetPrimaryProduction,-0.355677188,,,,
Cc19,Trarza,xd497,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.343181304,,,,
SCCS24,Songhai,xd480,koyr1242,Koyraboro Senni Songhai,Songhay,MonthlyMeanNetPrimaryProduction,-0.315273621,,,,
Cc13,Udalan Tuareg,xd491,timb1263,Timbuktu,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.30300988,,,,
Cc12,Ifora,xd490,tadh1242,Tadhaq,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.256829504,,,,
Cc20,Zenaga,xd499,zena1248,Zenaga,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.204854249,,,,
Cj5,Mutair,xd591,sout3119,South Najdi,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.202383893,,,,
Ag3,Dogon,xd266,bank1259,Bankan Tey Dogon,Dogon,MonthlyMeanNetPrimaryProduction,-0.197669327,,,,
Ag25,Soninke,xd261,soni1259,Soninke,Mande,MonthlyMeanNetPrimaryProduction,-0.188552389,,,,
Af31,Koro,xd210,ashe1269,Ashe,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,-0.175666739,,,,
Cc10,Asben,xd488,taya1257,Tayart Tamajeq,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.175666739,,,,
SCCS25,Wodaabe Fulani,xd474,boro1274,Bororo of Kano and Zaria,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,-0.175359068,,,,
Cb22,Liptako,xd472,west2454,Western Niger Fulfulde,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,-0.15476526,,,,
Ag26,Susu,xd262,susu1250,Susu,Mande,MonthlyMeanNetPrimaryProduction,-0.147485373,,,,
SCCS40,Teda,xd498,teda1241,Tedaga,Saharan,MonthlyMeanNetPrimaryProduction,-0.132441947,,,,
Cc6,Kababish,xd503,nort3133,North Kordofan Arabic,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.12553267,,,,
Ca34,Ababda,xd442,abab1239,Ababda,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.122946517,,,,
Cd13,Hamama,xd511,sout3114,South-Western Tunisian,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.122251729,,,,
Cb25,Tazarawa,xd475,haus1257,Hausa,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.112297131,,,,
Cb18,Kanembu,xd467,kane1243,Kanembu,Saharan,MonthlyMeanNetPrimaryProduction,-0.106772036,,,,
Cb16,Shuwa,xd465,char1283,Chari-Baguirmi,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.100795901,,,,
Cb5,Buduma,xd482,budu1265,Buduma,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.100795901,,,,
Cb11,Midobi,xd460,mido1240,Midob,Nubian,MonthlyMeanNetPrimaryProduction,-0.097625371,,,,
Cb23,Tukulor,xd473,pula1263,Pulaar,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,-0.093343633,,,,
SCCS39,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,MonthlyMeanNetPrimaryProduction,-0.089313653,,,,
Cb20,Zerma,xd470,zarm1239,Zarma-Kaado,Songhay,MonthlyMeanNetPrimaryProduction,-0.087747692,,,,
Ci11,Kurd,xd576,cent1972,Central Kurdish,Indo-European,MonthlyMeanNetPrimaryProduction,-0.066780479,,,,
Cb4,Hasania,xd481,khar1296,Khartoum,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.060362519,,,,
Ah25,Tigon,xd315,tigo1236,Tigon Mbembe,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,-0.051383399,,,,
Ca5,Bisharin,xd453,bish1251,Bisharin,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.051383399,,,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.051383399,,,,
Cc11,Azjer,xd489,ghat1242,Ghat,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.051383399,,,,
Cc14,Daza,xd492,daza1242,Dazaga,Saharan,MonthlyMeanNetPrimaryProduction,-0.051383399,,,,
Cc17,Delim,xd495,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.051383399,,,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanNetPrimaryProduction,-0.051383399,,,,
