Name	glottocode	Countries	Spoken_in_smallest_island_group	Spoken_in_overnight_group	Spoken_in_language_merged_island_group
Ajië	ajie1238	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
Akei	akei1237	VU	Santo	Vanuatu and Temotu	Santo
Amba (Solomon Islands)	amba1266	SB	Utupua	Vanuatu and Temotu	Utupua
Amblong	ambl1237	VU	Santo	Vanuatu and Temotu	Santo
Aneityum	anei1239	VU	Aneityum	Vanuatu and Temotu	Aneityum
Anuta	anut1237	SB	Anuta	Anuta-Tikopia	Anuta-Tikopia
Aore	aore1237	VU	Aore	Vanuatu and Temotu	Santo
Apma	apma1240	VU	Pentecost	Vanuatu and Temotu	Pentecost
Araki	arak1252	VU	Araki	Vanuatu and Temotu	Santo
Arhâ	arha1237	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
Arhö	arho1237	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
Asumboa	asum1237	SB	Utupua	Vanuatu and Temotu	Utupua
Aulua	aulu1238	VU	Malakula	Vanuatu and Temotu	Malakula
Avok	avok1244	VU	Malakula	Vanuatu and Temotu	Malakula
Axamb	axam1237	VU	Malakula	Vanuatu and Temotu	Malakula
Äiwoo	ayiw1239	SB	Lomlom	Vanuatu and Temotu	Reef Islands
Baetora	baet1237	VU	Maewo	Vanuatu and Temotu	Maewo
Baki	baki1244	VU	Epi	Vanuatu and Temotu	Epi
Balade	bala1316	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
Bierebo	bier1244	VU	Epi	Vanuatu and Temotu	Epi
Bieria	bier1246	VU	Epi	Vanuatu and Temotu	Epi
Big Nambas	bign1238	VU	Malakula	Vanuatu and Temotu	Malakula
Burmbar	burm1263	VU	Malakula	Vanuatu and Temotu	Malakula
Farafi	butm1237	VU	Santo	Vanuatu and Temotu	Santo
Bwatoo	bwat1240	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
Bwenelang	bwen1239	VU	Malakula	Vanuatu and Temotu	Malakula
Caac	caac1237	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
Carolinian	caro1242	MP	Northern Marianas, Saipan	Laguas_yan_gani	Laguas_yan_gani
Cemuhî	cemu1238	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
Central Maewo	cent2058	VU	Maewo	Vanuatu and Temotu	Maewo
Chamorro	cham1312	GU;MP	Saipan, Tinian, Guam	Laguas_yan_gani	Laguas_yan_gani
Chuukese	chuu1238	FM	Chuuk	Chuuk	Chuuk and Oroluk
Dakaka	daka1243	VU	Ambrym	Vanuatu and Temotu	Ambrym
Dehu	dehu1237	NC	Lifou	Kanaky	Kanaky
Dixon Reef	dixo1238	VU	Malakula	Vanuatu and Temotu	Malakula
Dumbea	dumb1241	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
East Ambae	east2443	VU	Ambae	Vanuatu and Temotu	Ambae
East Futuna	east2447	WF	East Futuna	East Futuna	East Futuna
Emae	emae1237	VU	Emae	Vanuatu and Temotu	Emae
Eton (Vanuatu)	eton1255	VU	Efate	Vanuatu and Temotu	Efate
Kiai	fort1240	VU	Santo	Vanuatu and Temotu	Santo
Futuna-Aniwa	futu1245	VU	Futuna and Aniwa	Vanuatu and Temotu	Futuna and Aniwa
Fwâi	fwai1237	NC	Kanaky (New Caledonia main island)	Kanaky	Kanaky
